21.138	21.221	21.372	21.130	21.220	21.305	21.236	21.215	20.477	21.298	20.705	21.303	-0.001	-0.003	-0.002	-0.000
21.114	21.229	21.380	21.138	21.216	21.297	21.247	21.219	20.507	21.298	20.713	21.299	-0.001	-0.002	0.000	-0.004
21.122	21.225	21.384	21.138	21.216	21.297	21.232	21.187	20.517	21.306	20.718	21.299	-0.002	-0.001	-0.000	-0.002
21.122	21.229	21.372	21.138	21.220	21.297	21.247	21.211	20.467	21.302	20.722	21.307	-0.001	-0.003	-0.002	-0.003
21.122	21.229	21.372	21.126	21.212	21.309	21.228	21.223	20.487	21.298	20.713	21.299	0.001	-0.004	-0.002	0.000
21.126	21.221	21.376	21.130	21.220	21.293	21.251	21.223	20.492	21.294	20.713	21.311	8.453E-5	-0.004	-0.001	-0.003
21.130	21.221	21.368	21.134	21.216	21.305	21.232	21.227	20.492	21.294	20.700	21.315	-0.001	-0.003	-0.002	-0.000
21.122	21.217	21.372	21.138	21.220	21.293	21.224	21.231	20.517	21.302	20.709	21.307	-0.001	-0.002	-0.002	0.001
21.134	21.213	21.380	21.134	21.220	21.285	21.251	21.223	20.517	21.294	20.731	21.307	-0.002	-0.003	-0.002	0.001
21.126	21.217	21.368	21.134	21.212	21.313	21.228	21.223	20.512	21.290	20.726	21.307	-0.001	-0.003	-0.002	-0.001
21.134	21.225	21.360	21.134	21.212	21.305	21.236	21.227	20.522	21.302	20.713	21.307	-0.001	-0.001	-0.002	0.001
21.126	21.221	21.372	21.138	21.220	21.269	21.240	21.215	20.497	21.298	20.713	21.307	-0.001	-0.003	-0.001	-0.003
21.126	21.229	21.368	21.130	21.224	21.297	21.220	21.223	20.517	21.298	20.722	21.311	-0.001	-0.003	-0.000	-0.002
21.130	21.225	21.372	21.138	21.220	21.281	21.208	21.215	20.517	21.294	20.713	21.299	-0.002	-0.002	-0.001	-0.003
21.118	21.221	21.380	21.138	21.216	21.301	21.236	21.223	20.517	21.302	20.713	21.303	-0.000	-0.002	-0.000	-0.001
21.130	21.221	21.376	21.122	21.228	21.285	21.200	21.223	20.557	21.294	20.705	21.315	-0.000	-0.002	-0.003	-0.000
21.126	21.221	21.372	21.134	21.220	21.281	21.212	21.219	20.527	21.298	20.713	21.307	-0.001	-0.002	-0.002	-0.003
21.126	21.221	21.380	21.130	21.220	21.293	21.216	21.219	20.517	21.298	20.705	21.315	-0.001	-0.003	-0.001	-0.003
21.130	21.213	21.376	21.138	21.207	21.297	21.255	21.227	20.502	21.302	20.726	21.311	-0.001	-0.003	-0.004	-0.001
21.126	21.221	21.368	21.134	21.216	21.297	21.228	21.223	20.517	21.306	20.718	21.307	0.000	-0.002	-0.001	-0.003
